Speaker name,Category/topic tags,State,Notes
Julie Cross,"Business; Health, Lifestyle & Wellbeing; Inspirational; People & Culture; Resilience; Virtual",QLD (Brisbane),Gender: Female
Julie Garlans McLellan,Business; Leadership,NSW (Sydney),Gender: Female
Julie Goodwin,Celebrity; Food & Wine; Mental Health & Wellness; Motivational; Virtual,NSW (Central Coast),Gender: Female
Julie Masters,Business; Leadership,International (Spain),Gender: Female
Julie McCrossin,Celebrity; Master of Ceremonies (MCs) & Hosts; World Affairs,NSW (Sydney),Gender: Female
Julie Piantadosi,Business; Master of Ceremonies (MCs) & Hosts,SA,Gender: Female
Julie Zhuo,"Business; Leadership; Technology, Future & Innovation",International (USA),Gender: Female
Justice Stephen Pallaras QC,Diversity & Inclusion; Leadership; Politics & Law,SA (Adelaide),Gender: Male
Justin Baird,"Advertising & Marketing; Business; Creativity & Innovation; Environment & Climate Change; Leadership; Technology, Future & Innovation",International (Asia; Singapore),Gender: Male
Justin Flitter,"AI; Technology, Future & Innovation",New Zealand (Auckland),Gender: Male
Justin Hamilton,Master of Ceremonies (MCs) & Hosts; Virtual,NSW (Sydney),Gender: Male
Justin Herald,Business; Education; Inspirational; Mental Health & Wellness; Motivational; Resilience; Team Building; Virtual,QLD (Gold Coast),Gender: Male
Justin Jones,Adventurers; Inspirational; Leadership; Motivational; Team Building; Virtual,TAS (Hobart),Gender: Male
Justin Langer AM,Celebrity; Sport,WA (Perth),Gender: Male
Justin Leppitsch,Business; Leadership; Resilience; Sport,QLD (Brisbane),Gender: Male
Justin Longmuir,Business; Inspirational; Leadership; Motivational; Sport,WA,Gender: Male
Justine Flynn,Business; Creativity & Innovation; Education; Inspirational; Leadership; Motivational; Social Media & Networking; Social Trends & Current Affairs; Team Building; World Affairs,QLD (Sunshine Coast),Gender: Female
Justine Schofield,Food & Wine; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Kaiden Powell,"Business; Creativity & Innovation; Diversity & Inclusion; Education; Health, Lifestyle & Wellbeing; Indigenous Speakers; Inspirational; Mental Health & Wellness; Motivational; People & Culture; Sport; Virtual",NSW (Sydney),Gender: Male
Kaley Chu,Business; Inspirational; Motivational; People & Culture,VIC (Melbourne),Gender: Female
Kamal Sarma,Business; Leadership; Motivational; People & Culture; Team Building,NSW (Sydney),Gender: Male
Kara Irving,Celebrity; Media,VIC (Melbourne),Gender: Female
Karen Ferris,Business; Leadership; People & Culture; Resilience,VIC (Melbourne),Gender: Female
Karen Jacobsen,Business; Inspirational; Motivational,QLD (Whitsundays),Gender: Female
Karen Leong,Business; Intergenerational Influencers; Leadership,International (Asia; Singapore),Gender: Female
Karen Matthews,Business; Leadership; People & Culture,NSW (Sydney),Gender: Female
Karl Stefanovic,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Karni Liddell,Diversity & Inclusion; Inspirational; Resilience; Sport,QLD (Brisbane),Gender: Female
Karun Chandhok,Motivational; Resilience; Sport,International (UK),Gender: Male
Kat Davidson,After Dinner Speakers; Business; Master of Ceremonies (MCs) & Hosts; Virtual,QLD (Brisbane),Gender: Female
Kate Ceberano,,VIC,Gender: Female
Kate Christie,After Dinner Speakers; Business; Master of Ceremonies (MCs) & Hosts; Motivational,VIC (Melbourne),Gender: Female
Kate Collins,Media; World Affairs,SA (Adelaide),Gender: Female
Kate Freebairn,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Kate Hall,Environment & Climate Change; Inspirational; Motivational; Sustainability,New Zealand (Auckland),Gender: Female
Kate Hardcastle MBE,"Business; Master of Ceremonies (MCs) & Hosts; Sustainability; Technology, Future & Innovation",International (UK),Gender: Female
Kate Jenkins AO,Business; Diversity & Inclusion; Inspirational; Leadership; People & Culture,VIC (Melbourne),Gender: Female
Kate Langbroek,Celebrity; Inspirational; Master of Ceremonies (MCs) & Hosts; Media; Motivational; Resilience,VIC (Melbourne),Gender: Female
Kate Munari,After Dinner Speakers; Inspirational; Leadership; Military; Resilience; Team Building,ACT (Canberra),Gender: Female
Kate Osborne,Business; Leadership,QLD (Brisbane),Gender: Female
Kate Roffey,Business; Leadership; People & Culture; Sport,VIC (Melbourne),Gender: Female
Kate Waterhouse,,NSW,Gender: Female
Kath Koschel,Inspirational; Leadership; Mental Health & Wellness; Motivational; Resilience; Sport,NSW (Sydney),Gender: Female
Katharina Kuehn,Business; Media; People & Culture,NSW (Sydney),Gender: Female
Kathryn Fox,"Authors; Health, Lifestyle & Wellbeing; Politics & Law",NSW,Gender: Female
Kathy Kelly,"Education; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Team Building",NSW,Gender: Female
Kathy Watt OAM,"After Dinner Speakers; Business; Health, Lifestyle & Wellbeing; Inspirational; Media; Sport; Technology, Future & Innovation",VIC,Gender: Female
Katie Sarah,"Adventurers; Health, Lifestyle & Wellbeing; Inspirational",SA (Adelaide),Gender: Female
Katrina McCarter,Advertising & Marketing; Business; Intergenerational Influencers,VIC (Melbourne),Gender: Female
Katrina Waugh,Adventurers; Business; Leadership; Master of Ceremonies (MCs) & Hosts,QLD (Brisbane),Gender: Female
Katrina Webb OAM,Business; Diversity & Inclusion; Inspirational; Master of Ceremonies (MCs) & Hosts; Sport; Virtual,SA (Adelaide),Gender: Female
Kaumudi Goda,Business,International (Asia; Singapore),Gender: Female
Kaylee McKeown,Inspirational; Motivational; Sport,QLD (Sunshine Coast),Gender: Female
Kaylene Langford,Business; Education; Leadership,NSW (Sydney),Gender: Female
Kehau Jackson,,SA (Adelaide),Gender: Female
Keith Abraham,Authors; Business; Leadership; Master of Ceremonies (MCs) & Hosts; Virtual,QLD (Brisbane),Gender: Male
Keith Banks BM,Business; Leadership; Mental Health & Wellness; Politics & Law,VIC (Melbourne),Gender: Male
Keith Ferrazzi,Business; Leadership,International (USA),Gender: Male
Keith Schleiger,Leadership; Media,NSW,Gender: Male
Kellie Tomney,"Business; Health, Lifestyle & Wellbeing; Leadership; Motivational; Resilience",QLD (Burleigh Heads),Gender: Female
Kelly Cartwright OAM,Business; Diversity & Inclusion; Inspirational; Motivational; People & Culture; Resilience; Sport,VIC (Melbourne),Gender: Female
Kelly Nestor,Celebrity; Master of Ceremonies (MCs) & Hosts,SA (Adelaide),Gender: Female
Kendall Whyte,"Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Mental Health & Wellness; Motivational",WA (Perth),Gender: Female
Kenneth Kwan,Business; Leadership; Motivational; People & Culture,International (Singapore),Gender: Male
Kerri Pottharst OAM,After Dinner Speakers; Inspirational; Leadership; Resilience; Sport; Team Building,NSW (Sydney),Gender: Female
Kerri-Anne Kennerley,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Kersti Eesmaa,"Inspirational; Leadership; Technology, Future & Innovation; World Affairs",ACT (Canberra),Gender: Female
Kevin Humphreys DSC,Inspirational; Leadership; Mental Health & Wellness; Military; Motivational; People & Culture; Resilience; Team Building,QLD (Brisbane),Gender: Male
Kevin O'Leary,"Business; Celebrity; Economy & Finance; Media; Motivational; Technology, Future & Innovation; Virtual",International (USA),Gender: Male
Kevin Sheedy AO,Celebrity; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Team Building,VIC,Gender: Male
Khoo Swee Chiow,Adventurers; Inspirational; Motivational,,Gender: Male
Khyati Kapai,Business; Leadership; Storytelling; Team Building,International (Singapore),Gender: Female
Kieran Flanagan,Advertising & Marketing; Business; Leadership; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Kieran Read,Leadership; Motivational; Resilience; Sport; Team Building,New Zealand (Christchurch),Gender: Male
Kieren Perkins OAM,Celebrity; Inspirational; Motivational; Sport,VIC (Melbourne),Gender: Male
Kim Brennan AM,Sport,ACT (Canberra),Gender: Female
Kim Hughes,Sport,WA,Gender: Male
Kim Katrin Milan,"Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Motivational; Social Trends & Current Affairs",International (Canada),Gender: Female
Kim Keedle,"Business; Health, Lifestyle & Wellbeing; Sport; Team Building",VIC (Melbourne),Gender: Male
Kim McCosker,"Business; Food & Wine; Health, Lifestyle & Wellbeing; Virtual",QLD (Sunshine Coast),Gender: Female
Kim Seeling Smith,AI; Business; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture,NSW (Sydney),Gender: Female
Kim Underhill,Business; Diversity & Inclusion; Leadership; Motivational,International (Singapore),Gender: Female
Kimberley Crossman,Environment & Climate Change; Inspirational; Mental Health & Wellness; Resilience; Storytelling; Sustainability,New Zealand (Auckland),Gender: Female
Kirk Docker,Diversity & Inclusion; Master of Ceremonies (MCs) & Hosts; Mental Health & Wellness; Motivational; People & Culture; Resilience; Team Building,NSW (Sydney),Gender: Male
Kirli Saunders OAM,Business; Diversity & Inclusion; Environment & Climate Change; Indigenous Speakers; Master of Ceremonies (MCs) & Hosts; Media; People & Culture; Storytelling; Sustainability,NSW (Sydney),Gender: Female
Kirryn Zerna,Advertising & Marketing; Business; Leadership; People & Culture; Social Media & Networking,NSW (Sydney),Gender: Female
Kirstie Clements,"Celebrity; Health, Lifestyle & Wellbeing; Media",NSW,Gender: Female
Kirstie Stanway,Master of Ceremonies (MCs) & Hosts; Media,New Zealand (Auckland),Gender: Female
Kirsty Milligan,Business; People & Culture,VIC (Melbourne),Gender: Female
Kirsty Spraggon,Business; Inspirational; Motivational; Virtual,International (USA),Gender: Female
Kitty Chiller AM,Business; Leadership; Sport; Virtual,VIC (Melbourne),Gender: Female
Kitty Flanagan,Virtual,VIC (Melbourne),Gender: Female
Kon Karapanagiotidis OAM,Business; Diversity & Inclusion; Food & Wine; Leadership; Motivational; Politics & Law,VIC (Melbourne),Gender: Male
Kristen Hansen,Business; Leadership; People & Culture,NSW (Sydney),Gender: Female
Kristina Karlsson,"Business; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational",VIC (Melbourne),Gender: Female
Kristofer Rogers,"AI; Business; Creativity & Innovation; Leadership; Storytelling; Technology, Future & Innovation",NSW (Byron Bay),Gender: Male
Kristy Sellars,"Business; Health, Lifestyle & Wellbeing; Inspirational; Leadership",VIC (Melbourne),Gender: Female
Kristy von Minden,"Health, Lifestyle & Wellbeing",New Zealand (Auckland),Gender: Female
Kurt Fearnley AO,Adventurers; Celebrity; Diversity & Inclusion; Inspirational; Motivational; Resilience; Sport,NSW (Sydney),Gender: Male
Kutcha Edwards,Diversity & Inclusion; Indigenous Speakers; Social Trends & Current Affairs,VIC (Melbourne),Gender: Male
Ky Furneaux,Adventurers; Education,VIC (Torquay),Gender: Female
Kyla Kirkpatrick,Business; Celebrity; Food & Wine; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; People & Culture; Social Trends & Current Affairs,VIC (Melbourne),Gender: Female
Kylie Gillies,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Kylie Kwong AM,Food & Wine; Sustainability,NSW (Sydney),Gender: Female
Lachie Samuel Mariu,"Business; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; People & Culture",WA (Perth),Gender: Male
Lachie Smart,Adventurers; Inspirational; Intergenerational Influencers; Motivational,QLD (Brisbane; Sunshine Coast),Gender: Male
Lachlan Daddo,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Lachy Reid,Celebrity; Master of Ceremonies (MCs) & Hosts; Sport,WA (Perth),Gender: Male
Laine Wolfe,,WA (Perth),Gender: Female
Lalita Lowe,Business; Education; Environment & Climate Change; Sustainability,TAS (Hobart),Gender: Female
Lambis Englezos AM,After Dinner Speakers; Inspirational; Military,VIC (Melbourne),Gender: Male
Lance Armstrong,Celebrity; Motivational; Resilience; Sport,International (USA),Gender: Male
Lance Kalish,Business; Creativity & Innovation; Social Trends & Current Affairs,NSW (Sydney),Gender: Male
Lani Refiti,"AI; Business; Creativity & Innovation; Leadership; Social Trends & Current Affairs; Technology, Future & Innovation",QLD (Brisbane),Gender: Male
Lara Hyams,Master of Ceremonies (MCs) & Hosts; Media,NSW (Sydney),Gender: Female
Larry Emdur,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Larry Hochman,Business; Leadership,International (UK),Gender: Male
Laura Piccardi,"Health, Lifestyle & Wellbeing",NSW (Sydney),Gender: Female
Laurel Papworth,"Business; Social Media & Networking; Social Trends & Current Affairs; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Lauren Burns OAM,"Authors; Health, Lifestyle & Wellbeing; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; Sport",VIC (Melbourne),Gender: Female
Lauren Clemett,Advertising & Marketing; Business; Leadership; Storytelling,QLD (Brisbane),Gender: Female
Lauren Jackson AO OLY,Authors; Diversity & Inclusion; Motivational; Sport; Team Building,NSW (Albury),Gender: Female
"Lauren Parsons, CSP, AS",Inspirational; Leadership; Motivational; People & Culture; Resilience; Sport,,Gender: Female
Laurie Lawrence AO,After Dinner Speakers; Celebrity; Education; Inspirational; Leadership; Motivational; People & Culture; Sport; Team Building,QLD,Gender: Male
Lauryn Eagle,"Celebrity; Health, Lifestyle & Wellbeing; Motivational; Sport",NSW,Gender: Female
Lawrence Mooney,Celebrity,NSW (Bowral),Gender: Male
Leah McLeod,Celebrity; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Leah Purcell AM,Diversity & Inclusion; Indigenous Speakers; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Leanne Faulkner,Business; Mental Health & Wellness; Motivational; People & Culture,NSW,Gender: Female
Leave It To Diva,,NSW,Gender: Female
Lee Lin Chin,Business; Celebrity; Diversity & Inclusion; Master of Ceremonies (MCs) & Hosts,International (Singapore),Gender: Female
Lehmo,Celebrity; Virtual,VIC (Melbourne),Gender: Male
Leigh Matthews AM,Business; Celebrity; Leadership; Motivational; People & Culture; Sport; Team Building,QLD (Brisbane),Gender: Male
Leila Gurruwiwi,Diversity & Inclusion; Indigenous Speakers; Master of Ceremonies (MCs) & Hosts; People & Culture,VIC (Melbourne),Gender: Female
Leila McKinnon,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Leisel Jones,Sport,QLD (Brisbane),Gender: Female
Len Rust,"Creativity & Innovation; Social Trends & Current Affairs; Technology, Future & Innovation",NSW,Gender: Male
Leon Logothetis,Adventurers; Celebrity; Inspirational; Motivational,International (USA),Gender: Male
Les Burdett OAM,Sport,SA,Gender: Male
Les Trois Amies,,WA (Perth),Gender: Female
Lewis Pugh,Inspirational; Motivational,International (UK),Gender: Male
Lexy McDonald,Business; Leadership; Mental Health & Wellness,WA (Perth),Gender: Female
Li Cunxin AO,Authors; Inspirational; Motivational,QLD (Brisbane),Gender: Male
Liam Power,Creativity & Innovation,NSW (Sydney),Gender: Male
Liam Twomey,Mental Health & Wellness; Motivational; Resilience; Sport; Storytelling,VIC (Melbourne),Gender: Male
Liane Moriarty,Celebrity; Inspirational; Motivational; Resilience; Storytelling,NSW (Sydney),Gender: Female
Libbi Gorr,Master of Ceremonies (MCs) & Hosts; People & Culture; Politics & Law; Storytelling,VIC (Melbourne),Gender: Female
"Lieutenant General John James Frewen, AO, DSC",Inspirational; Leadership; Military; Resilience; Storytelling,ACT (Canberra),Gender: Male
Lieutenant General Ken Gillespie AC DSC CSM,Business; Leadership; Military; Motivational,NSW (Sydney),Gender: Male
Linley Frame,Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Virtual,VIC (Melbourne),Gender: Female
Lisa Burling,Business; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; People & Culture,NSW (Sydney),Gender: Female
Lisa Cox OAM,"Advertising & Marketing; Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational",QLD (Brisbane),Gender: Female
Lisa Curry AO,"Authors; Business; Celebrity; Health, Lifestyle & Wellbeing; Inspirational; Motivational; Sport",QLD,Gender: Female
Lisa Jones,Business; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational,NSW (Sydney),Gender: Female
Lisa McAskill,Celebrity; Master of Ceremonies (MCs) & Hosts,SA (Adelaide),Gender: Female
Lisa McGuigan,Food & Wine,NSW (Sydney),Gender: Female
Lisa McInnes-Smith,"Health, Lifestyle & Wellbeing; Leadership; Motivational; Team Building",VIC (Melbourne),Gender: Female
Lisa Smith,Business; Creativity & Innovation; Leadership; Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Lisa Tamati,Business; Celebrity; Inspirational; Motivational; Sport,New Zealand (New Plymouth; North Island),Gender: Female
Lisa Wilkinson AM,Business; Celebrity; Master of Ceremonies (MCs) & Hosts; Media; Virtual,NSW,Gender: Female
Lisa Woodbrook,,WA (Perth),Gender: Female
Livinia Nixon,Celebrity; Master of Ceremonies (MCs) & Hosts; Media,VIC (Melbourne),Gender: Female
Liz Courtney,Adventurers; After Dinner Speakers; Business; Environment & Climate Change; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; Sustainability,NSW,Gender: Female
Liz Dawes,Business; Creativity & Innovation; Inspirational; Leadership,VIC,Gender: Female
Liz Ellis AO,Celebrity; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; Sport; Team Building,NSW (Lismore; Sydney),Gender: Female
Liz Rose,"Health, Lifestyle & Wellbeing; Inspirational; Leadership; People & Culture; Social Media & Networking",NSW (Sydney),Gender: Female
Lizzie Williamson,"Celebrity; Health, Lifestyle & Wellbeing; Mental Health & Wellness; Motivational; Team Building",NSW (Sydney),Gender: Female
Lizzy Hoo,Master of Ceremonies (MCs) & Hosts,VIC (Melbourne),Gender: Female
Lizzy Lovette,Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Lleyton Hewitt,Celebrity; Leadership; Resilience; Sport,NSW (Sydney),Gender: Male
Lola Berry,"Authors; Celebrity; Education; Food & Wine; Health, Lifestyle & Wellbeing; Inspirational; Media; Motivational; Virtual",International (USA),Gender: Female
Lord Ian Botham,Celebrity; Sport,International; VIC (Melbourne; UK),Gender: Male
Lorin Nicholson,Diversity & Inclusion; Inspirational; Sport,QLD (Brisbane),Gender: Male
Lottie Dalziel,Environment & Climate Change; Leadership; Motivational; Sustainability; Team Building,NSW (Sydney),Gender: Female
Louise Peachman,Business; Leadership; Master of Ceremonies (MCs) & Hosts; Motivational; Resilience,NSW (Sydney),Gender: Female
Louise Sauvage OAM,Celebrity; Inspirational; Sport,NSW (Sydney),Gender: Female
Louise Yaxley,Inspirational; Motivational; Sport,TAS,Gender: Female
Lt. Gen. David Morrison (Ret.) AO,Leadership; Master of Ceremonies (MCs) & Hosts; Military,ACT (Canberra),Gender: Male
LTCOL Dr Jorian Kippax MBChB FACEM,"Adventurers; Health, Lifestyle & Wellbeing; Inspirational; Motivational; Resilience; Sport; Team Building",TAS (Hobart),Gender: Male
Lucy Bloom,"Business; Education; Health, Lifestyle & Wellbeing; Social Media & Networking; Social Trends & Current Affairs; Virtual; World Affairs",NSW,Gender: Female
Luke Bateman,Celebrity; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness; Resilience; Sport,NSW (Sydney),Gender: Male
Luke Beveridge,"Business; Health, Lifestyle & Wellbeing; Leadership; Sport; Team Building",VIC (Melbourne),Gender: Male
Luke Hannan,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Luke Mangan,Food & Wine,NSW,Gender: Male
Luke Mathers,"Business; Health, Lifestyle & Wellbeing; Leadership; Mental Health & Wellness; Motivational; People & Culture",QLD (Brisbane; Gold Coast),Gender: Male
Luke Tyburski,Adventurers; Inspirational; Leadership; Mental Health & Wellness; Motivational; Resilience; Sport,NSW (Sydney),Gender: Male
Luli Adeyemo,"Business; Diversity & Inclusion; Indigenous Speakers; Inspirational; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Lulu Hawton,Inspirational; Mental Health & Wellness; Motivational; Resilience; Sport,WA (Perth),Gender: Female
Lumiere,,SA,Gender: Female
Lydia Lassila OAM,Inspirational; Sport,International (Finland),Gender: Female
Lynda Gratton,Business; Creativity & Innovation; Economy & Finance; Leadership,International (UK),Gender: Female
Lynda Moore,After Dinner Speakers; Business,New Zealand (Auckland),Gender: Female
Lyndey Milan OAM,"After Dinner Speakers; Business; Celebrity; Food & Wine; Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Motivational",NSW (Sydney),Gender: Female
Lynne Pezzullo,Business; Economy & Finance; Inspirational; Leadership; Virtual,ACT (Canberra),Gender: Female
Macshane,Diversity & Inclusion; Master of Ceremonies (MCs) & Hosts; Motivational; Team Building,WA (Perth),Gender: Male
Madeleine West,Celebrity; Inspirational; Motivational; Resilience; Storytelling,NSW (Byron Bay),Gender: Female
Madison de Rozario OAM,"Diversity & Inclusion; Health, Lifestyle & Wellbeing; Inspirational; Sport",NSW (Sydney),Gender: Female
Magdalena Roze,Environment & Climate Change; Master of Ceremonies (MCs) & Hosts; Media,NSW (Sydney),Gender: Female
Maggie Beer AO,"Business; Celebrity; Food & Wine; Health, Lifestyle & Wellbeing",SA,Gender: Female
Mahe Drysdale,Inspirational; Sport,New Zealand (Auckland),Gender: Male
Major General Paul Symon AO (Retd),Leadership; Military; Politics & Law; Social Trends & Current Affairs; World Affairs,ACT (Canberra),Gender: Male
Mal Meninga OAM,Celebrity; Motivational; Sport,ACT (Canberra),Gender: Male
Malcolm Turnbull,Advertising & Marketing; After Dinner Speakers; Business; Leadership; Politics & Law; Social Trends & Current Affairs,NSW (Sydney),Gender: Male
Manal al-Sharif,"Diversity & Inclusion; Leadership; Resilience; Technology, Future & Innovation",NSW (Sydney),Gender: Female
Mandy Johnson,Business,QLD,Gender: Female
Mandy Nolan,Diversity & Inclusion; Inspirational; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture; Storytelling,NSW (Mullumbimby),Gender: Female
Manoj Menon,"Business; Technology, Future & Innovation",International (Malaysia),Gender: Male
Marc Randolph,Business; Creativity & Innovation,International (USA),Gender: Male
Marcia Griffin,Business; People & Culture,VIC (Melbourne),Gender: Female
Marcia Hines,Celebrity,NSW (Sydney),Gender: Female
Marco Sanmartino,"Health, Lifestyle & Wellbeing; Inspirational; Mental Health & Wellness; Motivational",WA (Perth),Gender: Male
Marcus Pearce,"Health, Lifestyle & Wellbeing; Leadership; Mental Health & Wellness; Resilience; Virtual",QLD (Gold Coast),Gender: Male
Maree Davenport,Business; Diversity & Inclusion; Leadership; Politics & Law,VIC (Melbourne),Gender: Female
Marianna Pascal,Business; Diversity & Inclusion; Inspirational; People & Culture,International (Asia; Malaysia),Gender: Female
Marina  Prior,,VIC,Gender: Female
Marise Maechler,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Female
Mark 'Squiz' Squirrell OAM,"Adventurers; After Dinner Speakers; Health, Lifestyle & Wellbeing; Leadership; Motivational; People & Culture; Resilience; Storytelling; Team Building",VIC (Melbourne),Gender: Male
Mark Aiston,"Celebrity; Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts; Media; Mental Health & Wellness; Motivational; People & Culture; Sport",SA (Adelaide),Gender: Male
Mark Atkins,Indigenous Speakers; Virtual,NSW (Sydney),Gender: Male
Mark Beretta OAM,After Dinner Speakers; Celebrity; Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Mark Bosnich,Celebrity; Media; Sport,NSW (Sydney),Gender: Male
Mark Bouris AM,Business; Economy & Finance; Leadership,NSW (Sydney),Gender: Male
Mark Bunn,"Authors; Business; Health, Lifestyle & Wellbeing; Intergenerational Influencers; Mental Health & Wellness; Sport",International; VIC (Bali; Melbourne),Gender: Male
Mark Cameron,"AI; Business; Creativity & Innovation; Social Media & Networking; Technology, Future & Innovation; Virtual",VIC (Melbourne),Gender: Male
Mark Carter,Business; Creativity & Innovation; Leadership; People & Culture,VIC (Melbourne),Gender: Male
Mark Coopersmith,Business; Leadership,International (USA),Gender: Male
Mark Dobson,"Education; Health, Lifestyle & Wellbeing; Leadership; Motivational; Sport",VIC (Melbourne),Gender: Male
Mark Donaldson VC,Inspirational; Leadership; Military; Motivational; World Affairs,NSW (Sydney),Gender: Male
Mark Edmondson,Business; Inspirational; Leadership; Motivational; Sport,QLD (Gold Coast),Gender: Male
Mark Gallagher,"Creativity & Innovation; Health, Lifestyle & Wellbeing; Leadership; Motivational; Resilience; Sport; Sustainability; Team Building; Technology, Future & Innovation",International; SA (Adelaide; UK),Gender: Male
Mark Hodgson,Business; Creativity & Innovation; Leadership; Motivational; People & Culture,NSW (Sydney),Gender: Male
Mark Hughes OAM,"Health, Lifestyle & Wellbeing; Inspirational; Master of Ceremonies (MCs) & Hosts; Motivational; People & Culture; Sport",NSW (Newcastle),Gender: Male
Mark Humphries,Master of Ceremonies (MCs) & Hosts,NSW (Sydney),Gender: Male
Mark Inglis,Adventurers; Diversity & Inclusion; Inspirational; Motivational; Sport,New Zealand (South Island),Gender: Male
Mark Jeffries,Business; Economy & Finance; Master of Ceremonies (MCs) & Hosts; Social Media & Networking,International (USA),Gender: Male
Mark Jones,"Business; Leadership; Media; Storytelling; Technology, Future & Innovation; Virtual",NSW (Sydney),Gender: Male
Mark Mathews,Inspirational; Leadership; Motivational; Sport; Team Building; Virtual,QLD (Brisbane; Gold Coast),Gender: Male
Mark McConville,"After Dinner Speakers; Health, Lifestyle & Wellbeing; Mental Health & Wellness; Team Building; Virtual",QLD (Gold Coast),Gender: Male
Mark McCrindle,"Business; Diversity & Inclusion; Intergenerational Influencers; Leadership; Technology, Future & Innovation",NSW (Sydney),Gender: Male
Mark McKeon,"Authors; Business; Health, Lifestyle & Wellbeing; Leadership; Master of Ceremonies (MCs) & Hosts; People & Culture; Resilience; Sport; Team Building",VIC (Melbourne),Gender: Male
Mark Occhilupo,Sport,QLD (Brisbane),Gender: Male
Mark Philippoussis,Master of Ceremonies (MCs) & Hosts; Motivational; Resilience; Sport,VIC (Torquay),Gender: Male
Mark Readings,Master of Ceremonies (MCs) & Hosts; Sport,WA (Perth),Gender: Male
Mark Schulman,Motivational; Virtual,International (USA),Gender: Male
Mark Skaife OAM,Media; Motivational; Sport,VIC (Melbourne),Gender: Male
Mark Stuart,"Business; Creativity & Innovation; Leadership; Master of Ceremonies (MCs) & Hosts; Technology, Future & Innovation",International (Asia; Singapore),Gender: Male
Mark Taylor AO,Media; Sport; Team Building,NSW (Sydney),Gender: Male
Mark Thomas,Business; Media,TAS (Hobart),Gender: Male
Mark Visser,Inspirational; Resilience; Sport; Team Building,QLD (Sunshine Coast),Gender: Male
Mark Wales,"Business; Health, Lifestyle & Wellbeing; Leadership; Military; Resilience; Team Building; Virtual",VIC (Melbourne),Gender: Male
Mark Webber,Celebrity; Sport,International (UK),Gender: Male
Mark Williams,Leadership; Master of Ceremonies (MCs) & Hosts; Sport; Team Building,VIC (Melbourne),Gender: Male
Marlee Silva,Diversity & Inclusion; Indigenous Speakers; Inspirational; Master of Ceremonies (MCs) & Hosts; Media; Motivational; People & Culture; Resilience; Storytelling,NSW (Sydney),Gender: Female
Marley Biyendolo,"Health, Lifestyle & Wellbeing; Master of Ceremonies (MCs) & Hosts; Sport",International (USA),Gender: Male
Martin Butler,Advertising & Marketing; Business; Creativity & Innovation,International (UK),Gender: Male
Martin D Adams,"AI; Business; Creativity & Innovation; Technology, Future & Innovation",International (Mexico),Gender: Male
Martina Navratilova,Sport,International (USA),Gender: Female
Marty Fields,Virtual,VIC (Melbourne),Gender: Male
Marty Wilson,Business; Motivational; Virtual,QLD,Gender: Male
Mary Coustas,Celebrity,NSW (Sydney),Gender: Female
Maske,,QLD,Gender: Female
